pid,link
AEOD81630,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Benudhar Sardar-2019-20190402074558.jpg
AEOD81631,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Lokanath Naik-2019-20190404091804.jpg
AEOD81632,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/AC/S18/Pitambar Birua-2019-20190407053241.jpg
AEOD10679,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/AC/S18/Hrushikesh Naik-2019-20190407053217.jpg
AEOD4561,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Mohan Charan Majhi-2019-20190403040132.jpg
GEOD58341,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/MADHABA SARDAR-2019-20190402081352.jpg
AEOD3674,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Bidyadhar Dehury-2019-20190403021122.jpg
AEOD81634,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Ganesh Chandra Munda-2019-20190404091842.jpg
AEOD1794,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Subarna Naik-2019-20190403050821.jpg
AEOD1799,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Ram Prasad Hembram-2019-20190404090831.jpg
AEOD81635,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Manmay Bilas Tio-2019-20190404091240.jpg
AEOD81636,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Ranjit Munda-2019-20190404033204.jpg
AEOD81637,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Jayasing Munda-2019-20190404092300.jpg
AEOD81638,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/MinakshiMahanta-2019-20190405060023.jpg
AEOD1807,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Murali Manohar Sharma-2019-20190405061451.jpg
AEOD81639,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Jadumani Barik-2019-20190405052412.jpg
AEOD81640,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Srimanta Kumar Tripathy-2019-20190405060946.jpg
AEOD81641,https://suvidha.eci.gov.in/uploads/candprofile/2019/AC/S18/Kailash Chandra Tanti-2019-20190405054012.jpg
