pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBR2028,16,0,2015,PRINCE RAJ,Bihar,KALYANPUR(SC),LJP,,47218,M,2,1,FALSE,FALSE,28.03,38120,22.63,26,,1
AEBR20287,11,0,1995,ABDUL JALIL MASTAN,Bihar,AMOUR,INC,,30673,M,2,7,FALSE,FALSE,25.48,10367,8.61,,4,6
AEBR20287,11,1,1997,Abdul Jalil Mastan,Bihar,AMOUR,INC,INC,39923,M,2,7,FALSE,FALSE,33.56,23722,19.94,,4,6
AEBR20287,12,0,2000,ABDUL JALIL MASTAN,Bihar,AMOUR,INC,INC,58399,M,1,7,FALSE,FALSE,43.39,15834,11.77,,4,6
AEBR20287,13,0,2005,ABDUL JALIL MASTAN,Bihar,AMOUR,INC,INC,48009,M,1,7,FALSE,TRUE,41.46,22636,19.55,48,4,6
AEBR20287,14,0,2005,ABDUL JALIL MASTAN,Bihar,AMOUR,INC,INC,42041,M,1,7,FALSE,TRUE,49.05,14618,17.06,48,4,6
AEBR20287,15,0,2010,ABDUL JALIL MASTAN,Bihar,AMOUR,INC,INC,38946,M,2,7,FALSE,TRUE,31.23,22623,18.14,52,4,6
AEBR20287,16,0,2015,ABDUL JALIL MASTAN,Bihar,AMOUR,INC,INC,100135,M,1,7,FALSE,FALSE,59.16,51997,30.72,57,4,6
AEBR203,16,0,2015,SHYAMBABU PRASAD YADAV,Bihar,PIPRA,BJP,,65552,M,1,1,FALSE,FALSE,38,3930,2.28,49,1,1
AEBR2034,16,0,2015,JIBACHH PASWAN,Bihar,KALYANPUR(SC),CPI(ML)(L),,1766,M,8,1,FALSE,FALSE,1.05,120,0.07,47,,1
AEBR204,16,0,2015,KRISHAN CHANDRA,Bihar,PIPRA,JD(U),,61622,M,2,1,FALSE,FALSE,35.72,53256,30.87,59,,1
AEBR2043,16,0,2015,CHANDRASHEKHAR RAI,Bihar,WARISNAGAR,LJP,,34114,M,2,1,FALSE,FALSE,20.12,24563,14.48,44,,1
AEBR20549,11,0,1995,BINOD KUMAR SINGH,Bihar,PRANPUR,BJP,,15903,M,2,6,FALSE,FALSE,14.68,2650,2.45,,3,6
AEBR20549,12,0,2000,BINOD KUMAR SINGH,Bihar,PRANPUR,BJP,BJP,39161,M,1,6,FALSE,FALSE,36.85,3351,3.15,,3,6
AEBR20549,13,0,2005,BINOD KUMAR SINGH,Bihar,PRANPUR,BJP,BJP,13165,M,3,6,FALSE,TRUE,12.18,4733,4.38,39,3,6
AEBR20549,14,0,2005,BINOD KUMAR SINGH,Bihar,PRANPUR,BJP,BJP,34386,M,2,6,FALSE,FALSE,34.02,18766,18.57,39,3,6
AEBR20549,15,0,2010,BINOD KUMAR SINGH,Bihar,PRANPUR,BJP,BJP,43660,M,1,6,FALSE,FALSE,31.59,716,0.52,37,3,6
AEBR20549,16,0,2015,BINOD KUMAR SINGH,Bihar,PRANPUR,BJP,BJP,47924,M,1,6,FALSE,TRUE,26.71,8101,4.51,49,3,6
AEBR2059,16,0,2015,RENU KUMARI,Bihar,SAMASTIPUR,BJP,,51428,F,2,1,FALSE,FALSE,34.01,48374,31.99,52,,1
AEBR2061,16,0,2015,SURENDRA PRASAD SINGH,Bihar,SAMASTIPUR,CPI(ML)(L),,2361,M,4,1,FALSE,FALSE,1.56,230,0.15,41,,1
AEBR2077,16,0,2015,KUMAR ANANT,Bihar,UJIARPUR,BLSP,,38006,M,2,1,FALSE,FALSE,23.23,19033,11.63,38,,1
AEBR2090,16,0,2015,VIDYA SAGAR SINGH NISHAD,Bihar,MORWA,JD(U),,59206,M,1,1,FALSE,FALSE,42.74,18816,13.58,43,1,1
AEBR2091,16,0,2015,SURESH RAY,Bihar,MORWA,BJP,,40390,M,2,1,FALSE,FALSE,29.16,31010,22.39,44,,1
AEBR2110,16,0,2015,RANJEET NIRGUNI,Bihar,SARAIRANJAN,BJP,,47011,M,2,1,FALSE,FALSE,30.87,39717,26.08,38,,1
AEBR2115,16,0,2015,BRAJKISHOR SINGH CHAUHAN,Bihar,SARAIRANJAN,CPI(ML)(L),,1814,M,7,1,FALSE,FALSE,1.19,322,0.21,48,,1
AEBR2122,16,0,2015,EJYA YADAV,Bihar,MOHIUDDINNAGAR,RJD,,47137,F,1,1,FALSE,FALSE,37.83,23431,18.81,44,1,1
AEBR2123,15,1,2014,Rajesh Kumar Singh,Bihar,MOHIUDDINNAGAR,BJP,,34702,M,2,2,FALSE,FALSE,30.44,25702,22.54,,,2
AEBR2123,16,0,2015,RAJESH KUMAR SINGH,Bihar,MOHIUDDINNAGAR,IND,BJP,23706,M,2,2,FALSE,FALSE,19.03,5210,4.18,41,,2
AEBR2124,16,0,2015,SATYENDRA NARAYAN SINGH,Bihar,MOHIUDDINNAGAR,BJP,,18496,M,3,1,FALSE,FALSE,14.85,8478,6.8,60,,1
