pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEWB109114,12,0,1996,SANNYASI DOLAI,West_Bengal,KESHPUR,INC,,40376,M,2,1,0,FALSE,FALSE,31.33,37144,28.83,,1
AEWB109115,12,0,1996,NANDA RAM BHUINYA,West_Bengal,KESHPUR,BJP,,3232,M,3,1,0,FALSE,FALSE,2.51,1826,1.42,,1
AEWB109119,12,0,1996,RATHINDRA NATH CHAKRABORTY,West_Bengal,GARHBETA EAST,BJP,,8861,M,3,1,0,FALSE,FALSE,7.5,5697,4.82,,1
AEWB109122,12,0,1996,SIDDHARTHA BISAI,West_Bengal,GARHBETA WEST,INC,,26777,M,2,1,0,FALSE,FALSE,22.08,17024,14.04,,1
AEWB109124,12,0,1996,TARUN MANDAL,West_Bengal,GARHBETA WEST,BJP,,9150,M,4,1,0,FALSE,FALSE,7.55,0,0,,1
AEWB109125,12,0,1996,KHAGENDRA NATH MAHATO,West_Bengal,SALBANI,CPM,,65073,M,1,1,1,FALSE,FALSE,60.21,39614,36.66,,1
AEWB109126,12,0,1996,TAPAS DAS,West_Bengal,SALBANI,JKP(N),,25459,M,2,1,0,FALSE,FALSE,23.56,19108,17.68,,1
AEWB109127,11,0,1991,ARUN GHOSH,West_Bengal,NARGHAT,BJP,,7227,M,3,2,0,FALSE,FALSE,6.79,6040,5.67,,2
AEWB109127,12,0,1996,ARUN GHOSH,West_Bengal,SALBANI,BJP,BJP,6351,M,3,2,0,FALSE,FALSE,5.88,231,0.21,,2
AEWB109134,12,0,1996,DINEN ROY,West_Bengal,MIDNAPORE,INC,,57112,M,2,1,0,FALSE,FALSE,39.74,50894,35.41,,1
AEWB109135,12,0,1996,AJIT KUMAR CHATTERJEE,West_Bengal,MIDNAPORE,BJP,,6218,M,3,1,0,FALSE,FALSE,4.33,1407,0.98,,1
