pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEWB103405,16,0,2016,ARUNAVA SEN(RAJA),West_Bengal,BAGNAN,AITC,AITC,97834,M,1,2,FALSE,TRUE,54.1,30197,16.7,40,2,2
AEWB103442,14,0,2006,PROF. DR. SRUTINATH PRAHARAJ,West_Bengal,UTTARPARA,CPM,,73149,M,1,3,FALSE,FALSE,48.44,885,0.59,45,1,3
AEWB103442,15,0,2011,PROF. DR. SRUTINATH PRAHARAJ,West_Bengal,UTTARPARA,CPM,CPM,61560,M,2,3,FALSE,TRUE,35.12,55399,31.61,49,1,3
AEWB103442,16,0,2016,PROF. DR.SRUTINATH PRAHARAJ,West_Bengal,UTTARPARA,CPM,CPM,72918,M,2,3,FALSE,FALSE,38.55,49231,26.03,55,1,3
AEWB103482,15,0,2011,TAPAN DASGUPTA,West_Bengal,SAPTAGRAM,AITC,,90289,M,1,2,FALSE,FALSE,56.51,30868,19.32,54,2,2
AEWB103482,16,0,2016,TAPAN DASGUPTA,West_Bengal,SAPTAGRAM,AITC,AITC,88208,M,1,2,FALSE,TRUE,48.93,18567,10.3,60,2,2
AEWB103489,15,0,2011,AZIM ALI MD SK,West_Bengal,CHANDITALA,CPM,,69474,M,2,2,FALSE,FALSE,42.18,64061,38.9,42,,2
AEWB103489,16,0,2016,AZIM ALI MD. SK.,West_Bengal,CHANDITALA,CPM,CPM,77698,M,2,2,FALSE,FALSE,40.83,64855,34.08,47,,2
AEWB103494,15,0,2011,PROSENJIT BAG,West_Bengal,JANGIPARA,BJP,,5663,M,3,2,FALSE,FALSE,3.28,3520,2.04,35,,2
AEWB103494,16,0,2016,PROSENJIT BAG,West_Bengal,JANGIPARA,BJP,BJP,13716,M,3,2,FALSE,FALSE,7.02,10890,5.57,40,,2
AEWB103499,15,0,2011,BECHARAM MANNA,West_Bengal,HARIPAL,AITC,,98146,M,1,2,FALSE,FALSE,53.7,22073,12.08,40,2,2
AEWB103499,16,0,2016,BECHARAM MANNA E,West_Bengal,HARIPAL,AITC,AITC,110899,M,1,2,FALSE,TRUE,53.22,31475,15.1,51,2,2
AEWB103509,15,0,2011,RACHHPAL SINGH,West_Bengal,TARAKESWAR,AITC,,97022,M,1,2,FALSE,FALSE,55.1,25472,14.47,68,2,2
AEWB103509,16,0,2016,RACHHPAL SINGH E,West_Bengal,TARAKESWAR,AITC,AITC,97588,M,1,2,FALSE,TRUE,50.75,27690,14.4,73,2,2
AEWB103545,15,0,2011,SUKUMAR DE,West_Bengal,NANDAKUMAR,AITC,,89717,M,1,2,FALSE,FALSE,50.94,11867,6.74,50,2,2
AEWB103545,16,0,2016,SUKUMAR DE,West_Bengal,NANDAKUMAR,AITC,AITC,98549,M,1,2,FALSE,TRUE,48.11,10866,5.3,54,2,2
AEWB103547,15,0,2011,ADHIKARY NILANJAN,West_Bengal,NANDAKUMAR,BJP,,5152,M,3,2,FALSE,FALSE,2.93,3345,1.9,31,,2
AEWB103547,16,0,2016,ADHIKARY NILANJAN,West_Bengal,NANDAKUMAR,BJP,BJP,10668,M,3,2,FALSE,FALSE,5.21,8569,4.18,36,,2
AEWB103552,15,0,2011,PRASENJIT SAMANTA(NATHUDA),West_Bengal,MAHISADAL,BJP,,5783,M,3,2,FALSE,FALSE,3.34,3908,2.26,57,,2
AEWB103552,16,0,2016,PRASENJIT SAMANTA,West_Bengal,MAHISADAL,BJP,BJP,14150,M,3,2,FALSE,FALSE,7.18,11318,5.74,61,,2
AEWB103570,15,0,2011,MAKHAN LAL NAYAK,West_Bengal,PATASHPUR,CPI,,77802,M,2,2,FALSE,FALSE,46,73698,43.57,63,,2
AEWB103570,16,0,2016,MAKHANLAL NAYAK,West_Bengal,PATASHPUR,CPI,CPI,73679,M,2,2,FALSE,FALSE,38.78,63486,33.41,68,,2
AEWB103583,15,0,2011,RANAJIT MONDAL,West_Bengal,KHEJURI,AITC,,87833,M,1,2,FALSE,FALSE,53.11,16160,9.77,44,2,2
AEWB103583,16,0,2016,RANAJIT MONDAL,West_Bengal,KHEJURI,AITC,AITC,103699,M,1,2,FALSE,TRUE,54.3,42485,22.25,49,2,2
AEWB103587,15,0,2011,DIBYENDU ADHIKARI,West_Bengal,KANTHI DAKSHIN,AITC,,86933,M,1,2,FALSE,FALSE,57.12,28637,18.82,36,2,2
